absolute_path,relative_path,image_area,area_range
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000001.jpg,..\lab2\dogs_grayscale\000001.jpg,806300,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000002.jpeg,..\lab2\dogs_grayscale\000002.jpeg,15980544,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000002.jpg,..\lab2\dogs_grayscale\000002.jpg,2764800,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000003.jpg,..\lab2\dogs_grayscale\000003.jpg,1091840,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000004.jpg,..\lab2\dogs_grayscale\000004.jpg,640000,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000005.jpg,..\lab2\dogs_grayscale\000005.jpg,1224600,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000006.jpg,..\lab2\dogs_grayscale\000006.jpg,1600000,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000007.jpg,..\lab2\dogs_grayscale\000007.jpg,2073600,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000008.jpg,..\lab2\dogs_grayscale\000008.jpg,1049088,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000009.jpg,..\lab2\dogs_grayscale\000009.jpg,1093120,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000010.jpg,..\lab2\dogs_grayscale\000010.jpg,391876,300001-400000
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000011.jpg,..\lab2\dogs_grayscale\000011.jpg,391876,300001-400000
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000012.jpg,..\lab2\dogs_grayscale\000012.jpg,1242800,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000013.jpg,..\lab2\dogs_grayscale\000013.jpg,5685240,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000014.jpg,..\lab2\dogs_grayscale\000014.jpg,1298700,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000015.jpg,..\lab2\dogs_grayscale\000015.jpg,391876,300001-400000
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000016.jpg,..\lab2\dogs_grayscale\000016.jpg,921600,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000017.jpg,..\lab2\dogs_grayscale\000017.jpg,2000000,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000018.jpg,..\lab2\dogs_grayscale\000018.jpg,426400,400001-500000
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000019.jpg,..\lab2\dogs_grayscale\000019.jpg,505800,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000020.jpg,..\lab2\dogs_grayscale\000020.jpg,9216000,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000021.jpg,..\lab2\dogs_grayscale\000021.jpg,607500,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000022.jpg,..\lab2\dogs_grayscale\000022.jpg,427200,400001-500000
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000023.jpg,..\lab2\dogs_grayscale\000023.jpg,1248000,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000024.jpg,..\lab2\dogs_grayscale\000024.jpg,1183000,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000025.jpg,..\lab2\dogs_grayscale\000025.jpg,1681900,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000026.jpg,..\lab2\dogs_grayscale\000026.jpg,21996784,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000027.jpg,..\lab2\dogs_grayscale\000027.jpg,1383680,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000028.jpg,..\lab2\dogs_grayscale\000028.jpg,1236300,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000029.jpg,..\lab2\dogs_grayscale\000029.jpg,600000,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000030.jpg,..\lab2\dogs_grayscale\000030.jpg,2243200,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000031.jpg,..\lab2\dogs_grayscale\000031.jpg,2560000,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000032.jpg,..\lab2\dogs_grayscale\000032.jpg,1945600,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000033.jpg,..\lab2\dogs_grayscale\000033.jpg,3250809,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000034.jpg,..\lab2\dogs_grayscale\000034.jpg,1242800,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000035.jpg,..\lab2\dogs_grayscale\000035.jpg,426400,400001-500000
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000036.jpg,..\lab2\dogs_grayscale\000036.jpg,261042,200001-300000
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000037.jpg,..\lab2\dogs_grayscale\000037.jpg,427200,400001-500000
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000038.jpg,..\lab2\dogs_grayscale\000038.jpg,4096000,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000039.jpg,..\lab2\dogs_grayscale\000039.jpg,1310720,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000040.jpg,..\lab2\dogs_grayscale\000040.jpg,5238807,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000041.jpg,..\lab2\dogs_grayscale\000041.jpg,2795520,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000042.jpg,..\lab2\dogs_grayscale\000042.jpg,1600000,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000043.jpg,..\lab2\dogs_grayscale\000043.jpg,2442240,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000044.jpg,..\lab2\dogs_grayscale\000044.jpg,12102480,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000045.jpeg,..\lab2\dogs_grayscale\000045.jpeg,3250809,500001+
C:\Users\User\OneDrive\Рабочий стол\ПП\lab2\dogs_grayscale\000046.jpg,..\lab2\dogs_grayscale\000046.jpg,341760,300001-400000
